track_name,valence,duration_ms,album_name,album_release_year,tempo,danceability,lyrical_density,energy
Dawn FM,0.0807,96240,Dawn FM (Alternate World),2022,111.65,0.28,0.037,0.478
Gasoline,0.31,212166,Dawn FM (Alternate World),2022,123.006,0.728,0.0473,0.741
How Do I Make You Love Me?,0.636,214215,Dawn FM (Alternate World),2022,121.006,0.805,0.0737,0.498
Take My Breath,0.354,339023,Dawn FM (Alternate World),2022,121.02,0.698,0.0368,0.769
Sacrifice,0.905,188918,Dawn FM (Alternate World),2022,122,0.735,0.113,0.795
A Tale By Quincy,0.571,96214,Dawn FM (Alternate World),2022,67.291,0.447,0.128,0.512
Out of Time,0.823,214191,Dawn FM (Alternate World),2022,92.971,0.617,0.0469,0.762
"Here We Go… Again (feat. Tyler, the Creator)",0.198,209778,Dawn FM (Alternate World),2022,134.943,0.469,0.0302,0.623
Best Friends,0.528,163504,Dawn FM (Alternate World),2022,90,0.737,0.105,0.564
Is There Someone Else?,0.608,199111,Dawn FM (Alternate World),2022,134.951,0.702,0.0313,0.586
Starry Eyes,0.146,148000,Dawn FM (Alternate World),2022,134.23,0.309,0.031,0.418
Every Angel is Terrifying,0.46,167256,Dawn FM (Alternate World),2022,118.167,0.447,0.348,0.959
Don’t Break My Heart,0.243,205469,Dawn FM (Alternate World),2022,121.959,0.767,0.032,0.618
I Heard You’re Married (feat. Lil Wayne),0.784,263642,Dawn FM (Alternate World),2022,109.946,0.736,0.171,0.848
Less Than Zero,0.5,211814,Dawn FM (Alternate World),2022,142.981,0.535,0.0327,0.791
Phantom Regret by Jim,0.241,179580,Dawn FM (Alternate World),2022,110.113,0.394,0.0465,0.519
Take My Breath (Remix) (feat. Agents of Time),0.457,368661,Dawn FM (Alternate World),2022,124.999,0.649,0.0464,0.835
Sacrifice (Remix) (feat. Swedish House Mafia),0.677,238033,Dawn FM (Alternate World),2022,122.028,0.774,0.0784,0.742
Moth To A Flame (with The Weeknd),0.109,234000,Dawn FM (Alternate World),2022,120.122,0.542,0.0389,0.659
Alone Again,0.058,250057,After Hours (Deluxe),2020,90.673,0.255,0.0551,0.653
Too Late,0.185,239980,After Hours (Deluxe),2020,119.949,0.64,0.124,0.869
Hardest To Love,0.103,211402,After Hours (Deluxe),2020,81.186,0.466,0.065,0.609
Scared To Live,0.211,191299,After Hours (Deluxe),2020,87.493,0.481,0.051,0.493
Snowchild,0.24,247192,After Hours (Deluxe),2020,148.118,0.676,0.114,0.61
Escape From LA,0.169,355960,After Hours (Deluxe),2020,146.099,0.421,0.0568,0.548
Heartless,0.234,198267,After Hours (Deluxe),2020,169.97,0.537,0.132,0.752
Faith,0.123,283217,After Hours (Deluxe),2020,175.472,0.355,0.0774,0.605
Blinding Lights,0.342,200046,After Hours (Deluxe),2020,170.962,0.518,0.0557,0.727
In Your Eyes,0.705,237522,After Hours (Deluxe),2020,100.021,0.667,0.0331,0.72
Save Your Tears,0.623,215627,After Hours (Deluxe),2020,118.061,0.684,0.0308,0.817
Repeat After Me (Interlude),0.145,195815,After Hours (Deluxe),2020,94.945,0.555,0.0301,0.607
After Hours,0.14,361025,After Hours (Deluxe),2020,108.968,0.659,0.0304,0.572
Until I Bleed Out,0.178,192364,After Hours (Deluxe),2020,125.209,0.249,0.0357,0.37
Nothing Compares - Bonus Track,0.0397,222307,After Hours (Deluxe),2020,131.922,0.532,0.0352,0.577
Missed You - Bonus Track,0.321,144540,After Hours (Deluxe),2020,151.98,0.689,0.0851,0.374
Final Lullaby - Bonus Track,0.318,185689,After Hours (Deluxe),2020,100.901,0.604,0.0373,0.26
Call Out My Name,0.175,228373,"My Dear Melancholy,",2018,134.17,0.461,0.0356,0.593
Try Me,0.107,221107,"My Dear Melancholy,",2018,92.026,0.456,0.064,0.679
Wasted Times,0.29,220293,"My Dear Melancholy,",2018,122.585,0.56,0.0581,0.678
I Was Never There,0.155,241067,"My Dear Melancholy,",2018,113.26,0.323,0.0338,0.737
Hurt You,0.361,230027,"My Dear Melancholy,",2018,183.932,0.476,0.149,0.718
Privilege,0.371,170573,"My Dear Melancholy,",2018,93.631,0.404,0.0344,0.564
Call Out My Name - A Cappella,0.459,224747,"My Dear Melancholy,",2018,135.089,0.397,0.0361,0.339
Starboy,0.486,230453,Starboy,2016,186.003,0.679,0.276,0.587
Party Monster,0.218,249213,Starboy,2016,77.525,0.573,0.105,0.63
False Alarm,0.192,220307,Starboy,2016,173.978,0.517,0.0746,0.677
Reminder,0.388,218880,Starboy,2016,160.053,0.706,0.193,0.505
Rockin’,0.752,232880,Starboy,2016,112.878,0.738,0.206,0.885
Secrets,0.763,265600,Starboy,2016,109.945,0.664,0.0533,0.771
True Colors,0.584,206013,Starboy,2016,76.671,0.624,0.24,0.424
Stargirl Interlude,0.441,111640,Starboy,2016,179.771,0.638,0.124,0.474
Sidewalks,0.623,231360,Starboy,2016,149.828,0.542,0.0628,0.72
Six Feet Under,0.244,237573,Starboy,2016,140.035,0.772,0.0761,0.504
Love To Lay,0.698,223293,Starboy,2016,116.971,0.711,0.0608,0.807
A Lonely Night,0.864,220173,Starboy,2016,113.998,0.853,0.0755,0.663
Attention,0.362,197653,Starboy,2016,148.04,0.671,0.124,0.428
Ordinary Life,0.365,221920,Starboy,2016,149.748,0.537,0.0771,0.587
Nothing Without You,0.191,198653,Starboy,2016,109.825,0.575,0.068,0.634
All I Know,0.171,321027,Starboy,2016,120.021,0.467,0.074,0.417
Die For You,0.51,260253,Starboy,2016,133.249,0.582,0.0627,0.525
I Feel It Coming,0.585,269187,Starboy,2016,92.987,0.773,0.118,0.819
Real Life,0.346,223347,Beauty Behind The Madness,2016,90.726,0.58,0.0506,0.653
Losers,0.296,281173,Beauty Behind The Madness,2016,90.994,0.661,0.0496,0.483
Tell Your Friends,0.312,334200,Beauty Behind The Madness,2016,74.809,0.565,0.0461,0.454
Often,0.0751,249107,Beauty Behind The Madness,2016,133.984,0.567,0.046,0.622
